         45710 function calls (45094 primitive calls) in 22.515 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       33    0.000    0.000    0.013    0.000 C:\Users\kayne\PycharmProjects\Hermod\.venv\Lib\site-packages\urllib3\response.py:1120(_update_chunk_length)
       10    0.000    0.000    0.007    0.001 C:\Users\kayne\AppData\Local\Programs\Python\Python312\Lib\collections\__init__.py:470(_asdict)
       10    0.000    0.000    0.006    0.001 C:\Users\kayne\PycharmProjects\Hermod\hermod\core\code_generation.py:83(save_code)
       11    0.000    0.000    0.006    0.001 C:\Users\kayne\AppData\Local\Programs\Python\Python312\Lib\platform.py:861(__iter__)
        1    0.000    0.000    0.006    0.006 C:\Users\kayne\AppData\Local\Programs\Python\Python312\Lib\functools.py:977(__get__)
        1    0.000    0.000    0.006    0.006 C:\Users\kayne\AppData\Local\Programs\Python\Python312\Lib\platform.py:857(processor)
        1    0.000    0.000    0.006    0.006 C:\Users\kayne\AppData\Local\Programs\Python\Python312\Lib\platform.py:796(get)
        1    0.000    0.000    0.006    0.006 C:\Users\kayne\AppData\Local\Programs\Python\Python312\Lib\platform.py:801(get_win32)
       39    0.000    0.000    0.006    0.000 C:\Users\kayne\AppData\Local\Programs\Python\Python312\Lib\logging\__init__.py:1529(info)
       39    0.000    0.000    0.006    0.000 C:\Users\kayne\AppData\Local\Programs\Python\Python312\Lib\logging\__init__.py:1660(_log)
       10    0.000    0.000    0.005    0.000 C:\Users\kayne\PycharmProjects\Hermod\.venv\Lib\site-packages\requests\sessions.py:457(prepare_request)
       39    0.000    0.000    0.005    0.000 C:\Users\kayne\AppData\Local\Programs\Python\Python312\Lib\logging\__init__.py:1686(handle)
       39    0.000    0.000    0.004    0.000 C:\Users\kayne\AppData\Local\Programs\Python\Python312\Lib\logging\__init__.py:1746(callHandlers)
       78    0.000    0.000    0.004    0.000 C:\Users\kayne\AppData\Local\Programs\Python\Python312\Lib\logging\__init__.py:1011(handle)
       78    0.000    0.000    0.004    0.000 C:\Users\kayne\AppData\Local\Programs\Python\Python312\Lib\logging\__init__.py:1148(emit)
       10    0.000    0.000    0.003    0.000 C:\Users\kayne\AppData\Local\Programs\Python\Python312\Lib\http\client.py:245(parse_headers)
       10    0.000    0.000    0.003    0.000 C:\Users\kayne\PycharmProjects\Hermod\.venv\Lib\site-packages\requests\models.py:351(prepare)
       10    0.000    0.000    0.003    0.000 C:\Users\kayne\AppData\Local\Programs\Python\Python312\Lib\http\client.py:231(_parse_header_lines)
       10    0.000    0.000    0.003    0.000 C:\Users\kayne\AppData\Local\Programs\Python\Python312\Lib\email\parser.py:56(parsestr)
       10    0.000    0.000    0.002    0.000 C:\Users\kayne\AppData\Local\Programs\Python\Python312\Lib\email\parser.py:41(parse)
       11    0.002    0.000    0.002    0.000 {built-in method _io.open}
   210/10    0.000    0.000    0.002    0.000 C:\Users\kayne\PycharmProjects\Hermod\.venv\Lib\site-packages\openai\util.py:101(convert_to_openai_object)
       10    0.000    0.000    0.002    0.000 C:\Users\kayne\PycharmProjects\Hermod\.venv\Lib\site-packages\requests\adapters.py:446(get_connection_with_tls_context)
       88    0.002    0.000    0.002    0.000 {method 'write' of '_io.TextIOWrapper' objects}
       10    0.000    0.000    0.002    0.000 C:\Users\kayne\PycharmProjects\Hermod\.venv\Lib\site-packages\urllib3\poolmanager.py:276(connection_from_host)
       10    0.000    0.000    0.002    0.000 C:\Users\kayne\PycharmProjects\Hermod\.venv\Lib\site-packages\urllib3\poolmanager.py:305(connection_from_context)
       10    0.000    0.000    0.002    0.000 C:\Users\kayne\AppData\Local\Programs\Python\Python312\Lib\email\feedparser.py:171(feed)
       10    0.000    0.000    0.002    0.000 C:\Users\kayne\PycharmProjects\Hermod\.venv\Lib\site-packages\urllib3\poolmanager.py:330(connection_from_pool_key)
       20    0.000    0.000    0.002    0.000 C:\Users\kayne\AppData\Local\Programs\Python\Python312\Lib\queue.py:122(put)
        1    0.000    0.000    0.002    0.002 C:\Users\kayne\PycharmProjects\Hermod\.venv\Lib\site-packages\urllib3\poolmanager.py:229(_new_pool)
        1    0.000    0.000    0.002    0.002 C:\Users\kayne\PycharmProjects\Hermod\.venv\Lib\site-packages\urllib3\connectionpool.py:982(__init__)
        1    0.000    0.000    0.002    0.002 C:\Users\kayne\PycharmProjects\Hermod\.venv\Lib\site-packages\urllib3\connectionpool.py:177(__init__)
       20    0.000    0.000    0.002    0.000 C:\Users\kayne\AppData\Local\Programs\Python\Python312\Lib\email\feedparser.py:176(_call_parse)
       10    0.000    0.000    0.002    0.000 C:\Users\kayne\PycharmProjects\Hermod\.venv\Lib\site-packages\urllib3\connection.py:365(request)
       20    0.000    0.000    0.002    0.000 C:\Users\kayne\AppData\Local\Programs\Python\Python312\Lib\email\feedparser.py:216(_parsegen)
       30    0.002    0.000    0.002    0.000 C:\Users\kayne\AppData\Local\Programs\Python\Python312\Lib\threading.py:394(notify)
       10    0.000    0.000    0.002    0.000 C:\Users\kayne\PycharmProjects\Hermod\.venv\Lib\site-packages\requests\sessions.py:750(merge_environment_settings)
       39    0.000    0.000    0.002    0.000 C:\Users\kayne\AppData\Local\Programs\Python\Python312\Lib\logging\__init__.py:1266(emit)
       10    0.000    0.000    0.001    0.000 C:\Users\kayne\PycharmProjects\Hermod\.venv\Lib\site-packages\requests\utils.py:826(get_environ_proxies)
       10    0.000    0.000    0.001    0.000 C:\Users\kayne\PycharmProjects\Hermod\.venv\Lib\site-packages\requests\adapters.py:359(build_response)
       10    0.000    0.000    0.001    0.000 C:\Users\kayne\PycharmProjects\Hermod\.venv\Lib\site-packages\openai\util.py:94(get_object_classes)
      4/1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1349(_find_and_load)
       10    0.000    0.000    0.001    0.000 C:\Users\kayne\PycharmProjects\Hermod\.venv\Lib\site-packages\requests\models.py:610(prepare_cookies)
       10    0.000    0.000    0.001    0.000 C:\Users\kayne\PycharmProjects\Hermod\.venv\Lib\site-packages\requests\cookies.py:140(get_cookie_header)
